,area,centroid,mean_intensity,perimeter,row,column,circularity
1026,316,"(1137.6677215189873, 320.87974683544303)",0.5761727475800447,63.35533905932738,22,6,0.989305691717601
1027,229,"(1135.6331877729258, 1122.0)",0.564808630875931,53.45584412271572,22,21,1.0070591101690567
1028,294,"(1136.9965986394557, 2080.496598639456)",0.5559957316259837,62.2842712474619,22,39,0.9523584064739206
1029,441,"(1139.2154195011337, 2293.816326530612)",0.5854341736694677,76.76955262170046,22,43,0.9403086559704427
1030,701,"(1188.0499286733238, 1388.3623395149787)",0.597493776397863,96.08326112068522,23,26,0.9541846203930688
1031,652,"(1188.2668711656443, 854.6625766871166)",0.6052147239263804,93.25483399593904,23,16,0.9421385037220429
1032,671,"(1188.3904619970194, 908.0834575260805)",0.5956927033108326,95.01219330881976,23,17,0.9340576825644664
1033,705,"(1188.2695035460993, 1175.404255319149)",0.6023140036156307,96.66904755831214,23,22,0.9480344117573829
1034,695,"(1188.6561151079136, 1600.2158273381294)",0.5936182818451122,97.49747468305831,23,30,0.9187723874775181
1035,621,"(1188.3027375201289, 747.9227053140097)",0.6020902402829087,91.25483399593904,23,14,0.9371081294155134
1036,597,"(1188.2043551088777, 801.0)",0.5947778106217362,87.59797974644667,23,15,0.9776783871928503
1037,633,"(1188.1563981042655, 961.6650868878357)",0.59632004460552,91.25483399593904,23,18,0.9552164990660547
1038,603,"(1188.4842454394693, 1228.69320066335)",0.5947907521217443,89.25483399593904,23,23,0.95118213099792
1039,579,"(1188.419689119171, 1546.9015544041451)",0.5887839073453215,86.42640687119285,23,29,0.9740819864808379
1040,679,"(1189.2459499263623, 1813.2901325478645)",0.5891940281267146,94.66904755831214,23,34,0.9520584734808735
1041,1023,"(1192.8484848484848, 2559.7077223851416)",0.6049412531385965,116.8111831820431,23,48,0.9421426228717987
1042,779,"(1191.0860077021823, 107.51091142490372)",0.6035842835208538,101.49747468305833,23,2,0.950247745580061
1043,676,"(1190.3831360946745, 267.39201183431953)",0.6058011370228565,94.66904755831213,23,5,0.9478520295626962
1044,572,"(1188.5786713286714, 481.0244755244755)",0.6134101192924722,85.59797974644667,23,9,0.9810222632758855
1045,553,"(1188.4773960216999, 534.4195298372514)",0.6115590540013475,84.42640687119285,23,10,0.9749411077836669
1046,499,"(1188.3867735470942, 587.5651302605211)",0.5817595976266258,81.01219330881976,23,11,0.9554536612680343
1047,515,"(1188.7825242718447, 1068.4543689320387)",0.5734551684751569,82.42640687119285,23,20,0.9525424871987279
1048,486,"(1188.0411522633744, 1121.9382716049383)",0.5920761720325991,79.59797974644667,23,21,0.9639223339615188
1049,572,"(1188.6066433566434, 1335.0)",0.6023515699986288,85.59797974644667,23,25,0.9810222632758855
1050,614,"(1189.1970684039088, 1653.4299674267102)",0.5993868557194865,89.59797974644665,23,31,0.9611292637889353
1051,657,"(1189.9984779299848, 2027.083713850837)",0.5891604739308205,93.25483399593904,23,38,0.9493634922475187
1052,858,"(1192.3846153846155, 2453.390442890443)",0.5997851821381234,107.74011537017762,23,46,0.9288429291170691
1053,706,"(1191.1048158640226, 160.72379603399435)",0.5983280564350386,96.66904755831213,23,3,0.9493791414194505
1054,554,"(1189.6064981949457, 320.8249097472924)",0.5912012458412967,85.01219330881975,23,6,0.9632902987958081
1055,481,"(1188.4158004158005, 641.2889812889813)",0.6028942970119441,78.76955262170047,23,12,0.9741776973006733
1056,492,"(1188.5426829268292, 1014.9939024390244)",0.5793400286944045,79.94112549695427,23,19,0.9674631898687338
1057,441,"(1188.5578231292518, 1441.408163265306)",0.5835578675914811,75.59797974644665,23,27,0.9696791868658388
1058,537,"(1189.5400372439478, 1759.4841713221601)",0.5907255267097529,83.59797974644667,23,33,0.9655896126180917
1059,676,"(1190.8639053254437, 2187.4718934911243)",0.5959392040840005,94.66904755831214,23,41,0.9478520295626958
1060,638,"(1190.9278996865203, 2240.6332288401254)",0.5915729301124839,92.08326112068524,23,42,0.9455166043456057
1061,754,"(1191.8474801061009, 2400.0623342175068)",0.5990326103916367,100.08326112068522,23,45,0.9459285072138838
1062,358,"(1188.2430167597765, 695.0921787709498)",0.5793734253477927,67.698484809835,23,13,0.9816010027200788
1063,466,"(1188.9935622317596, 1707.0257510729614)",0.5936127240595808,77.94112549695429,23,32,0.963967595435381
1064,525,"(1190.007619047619, 1920.184761904762)",0.5940765639589168,82.76955262170047,23,36,0.9630036913164401
1065,511,"(1189.9334637964776, 1973.8336594911937)",0.6028164690533747,81.59797974644667,23,37,0.9644327540292249
1066,567,"(1191.583774250441, 53.96825396825397)",0.6200228239443927,85.59797974644667,23,1,0.9724468938416557
1067,413,"(1189.4745762711864, 427.9903147699758)",0.5833736884584342,71.94112549695429,23,8,1.0027795295099664
1068,316,"(1188.379746835443, 1494.0221518987341)",0.5756763464879622,63.941125496954285,23,28,0.9712619912417378
1069,568,"(1192.1778169014085, 2346.7975352112676)",0.5919842584921292,86.42640687119285,23,44,0.9555761110900103
1070,492,"(1191.928861788618, 2293.8943089430895)",0.5919496253786067,79.59797974644665,23,43,0.975822609689439
1071,563,"(1192.9218472468917, 2506.337477797513)",0.6012886149131055,86.42640687119285,23,47,0.9471643495487249
1072,261,"(1189.3793103448277, 1866.6206896551723)",0.553121478476448,56.87005768508881,23,35,1.0141052564537247
1073,371,"(1190.8840970350404, 2133.946091644205)",0.582548491094551,69.94112549695427,23,40,0.9530562641605398
1074,244,"(1190.155737704918, 2080.55737704918)",0.5556091288974606,55.4558441227157,23,39,0.9970227078114963
1075,1098,"(1244.063752276867, 53.623861566484514)",0.6287581699346405,121.98275605729688,24,1,0.9272894550950261
1076,756,"(1240.5555555555557, 1014.9060846560847)",0.5713455752671438,99.25483399593904,24,19,0.964335877790893
1077,730,"(1240.282191780822, 1281.6876712328767)",0.6095997851195273,98.66904755831213,24,24,0.9422602101819613
1078,704,"(1240.1761363636363, 1334.9119318181818)",0.6036374777183601,96.66904755831213,24,25,0.946689682095316
1079,703,"(1240.5149359886202, 1493.7311522048365)",0.6109558474883552,96.66904755831213,24,28,0.9453449524332488
1080,1270,"(1245.1582677165354, 2560.7858267716533)",0.608368071638104,131.0538238691624,24,48,0.9292106750940398
1081,605,"(1240.7272727272727, 640.9586776859504)",0.6056976178901313,89.01219330881975,24,12,0.959546959941426
1082,640,"(1240.4296875, 854.6328125)",0.6094607843137256,91.84062043356595,24,16,0.9534989520886954
1083,625,"(1240.4, 1068.592)",0.5636580392156862,90.42640687119285,24,20,0.9605043426045669
1084,672,"(1240.7723214285713, 1440.8199404761904)",0.6053979925303455,93.84062043356595,24,27,0.9589531633177715
1085,695,"(1241.1395683453238, 1706.5237410071943)",0.6012470023980816,95.25483399593904,24,32,0.9625440629968542
1086,576,"(1241.013888888889, 427.59027777777777)",0.5973856209150328,87.25483399593904,24,8,0.9507215851820836
1087,579,"(1241.2124352331607, 534.1157167530224)",0.6190795489180129,87.01219330881976,24,10,0.9610106392284898
1088,501,"(1240.2614770459081, 694.556886227545)",0.6002896168447419,81.01219330881976,24,13,0.959283134860291
1089,540,"(1240.8685185185186, 800.9666666666667)",0.6040522875816994,84.42640687119285,24,15,0.9520220582335989
1090,532,"(1240.6372180451128, 1121.842105263158)",0.5724605631726374,83.84062043356595,24,21,0.9510701019709061
1091,601,"(1241.2628951747088, 1653.5391014975041)",0.5929724968190271,88.42640687119285,24,31,0.9658737865111451
1092,667,"(1242.0089955022488, 1920.095952023988)",0.5981597436575831,93.25483399593904,24,36,0.9638134692984702
1093,756,"(1242.5, 2027.0)",0.5869332918352527,99.25483399593904,24,38,0.964335877790893
1094,881,"(1244.2939841089672, 2293.5709421112374)",0.5919164941799648,108.32590180780451,24,43,0.943454903529023
1095,663,"(1242.9592760180994, 160.7450980392157)",0.5997101706444268,94.08326112068522,24,3,0.9412362986801021
1096,598,"(1242.2357859531774, 214.32441471571906)",0.5996917830677422,88.42640687119285,24,4,0.9610524531342175
1097,572,"(1242.041958041958, 267.62587412587413)",0.6013711778417661,87.25483399593904,24,5,0.9441193519516524
1098,504,"(1240.9186507936508, 587.5357142857143)",0.589620292561469,81.59797974644667,24,11,0.9512213464397836
1099,521,"(1240.9769673704416, 747.6257197696737)",0.6136314026570322,81.59797974644667,24,14,0.9833061934427128
1100,524,"(1240.8187022900763, 1388.2652671755725)",0.5858853465050142,82.76955262170047,24,26,0.9611693985710755
1101,524,"(1241.2652671755725, 1546.578244274809)",0.588557102230205,83.01219330881976,24,29,0.9555587057246857
1102,505,"(1240.8376237623763, 1599.9960396039603)",0.5811065812463599,80.76955262170047,24,30,0.9727604107352879
1103,568,"(1241.8204225352113, 1867.0774647887324)",0.584120408726871,85.84062043356595,24,35,0.968662537284466
1104,669,"(1243.0284005979074, 2134.0074738415547)",0.6005979073243647,93.25483399593904,24,40,0.9667034647086606
1105,749,"(1244.1975967957276, 2346.96261682243)",0.5996596769548941,100.08326112068522,24,44,0.9396557717549058
1106,640,"(1243.5421875, 107.9734375)",0.6039215686274509,91.25483399593904,24,2,0.9657797146955371
1107,509,"(1241.8722986247544, 374.2062868369352)",0.5920490003467006,81.59797974644667,24,7,0.9606580661465274
1108,363,"(1240.236914600551, 908.5922865013774)",0.58527521201318,68.52691193458118,24,17,0.9713912032005593
1109,557,"(1242.7773788150807, 2080.330341113106)",0.5781180694899144,85.84062043356595,24,39,0.9499032275835345
1110,769,"(1245.5682704811443, 2506.143042912874)",0.6149111400086693,101.49747468305831,24,47,0.938049443326145
1111,389,"(1240.9074550128535, 480.9485861182519)",0.6077020011089269,71.11269837220809,24,9,0.9666408599191564
